Student ID,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9,Group 10,Group 11,Group 12,Group 13,Group 14,Group 15,Group 16,Group 17,Group 18,Group 19,Group 20,Group 21,Group 22,Group 23,Group 24,Group 25,Group 26,Group 27,Group 28,Group 29,Group 30,Group 31,Group 32,Group 33,Group 34,Group 35,Group 36,Group 37,Group 38,Group 39,Group 40,Group 41,Group 42,Group 43,Group 44,Group 45,Group 46,Group 47,Group 48,Group 49,Group 50,Group 51,Group 52,Group 53,Group 54,Group 55,Group 56,Group 57,Group 58,Group 59
1985 Dec,98.2,85,50.9,71.1,32.3,5.2,3.4,229.6,4,2.1,5.8,17.2,36.4,9.4,7.6,5.5,12.9,20.6,29.6,33.6,25.3,30.2,77.9,13.3,191.8,121.5,107.8,109.4,64,30.1,184,36.5,43.7,13.2,48.8,202.9,74.8,277.7,229.4,232.8,276,126.8,50.6,62.8,62.1,59.4,47,17.7,66.6,17.2,110.2,48.9,11,3.6,2.4,26.5,9.1,5.3,2
1986 Jan,85.4,65.4,46.4,58.4,32.1,3.8,2.6,187.6,3.2,2.1,4,12.9,22.5,6.4,7.9,4.3,7,14.3,28,13.1,20.2,24,81.1,10.8,114,111.2,85.1,84.1,49.7,21.9,98.3,34.5,24.3,9.1,30.2,118.5,47.9,166.4,196.3,128.4,126.3,113.8,38.7,64.1,39.8,50.5,35.4,11.1,39.4,15.7,76.5,28.3,5.5,2.5,1.8,13.1,5.2,4.4,1.6
1986 Feb,76.5,70.2,44.1,61.1,28.3,4.1,2.8,192.4,3,2,4.4,13,20,6.5,6.1,3.8,7.5,13.3,25.8,13.4,19.1,23.1,70.3,11.5,103.2,97.8,80.1,78.4,47.2,20.4,92.7,29.9,23.6,8.7,28.3,100.1,40.1,140.2,177.9,121,112.4,104.4,36.9,57.2,33.4,44.6,30.3,10.3,39.3,14.8,69.6,29,4.9,2.2,1.6,13.9,5.7,3.8,1.3
1986 Mar,83.7,64.2,45.7,52.8,26.4,4.1,3.6,175.7,2.7,2.1,4.2,12.3,20.2,6.2,9.3,3.6,7.7,14.1,28.4,13.5,21,22.2,74.1,11,106.8,105.3,82,76.4,48.5,20.9,99.2,31.3,23.4,9.3,28.5,105.9,41.5,147.4,187.3,127.7,128.2,109.7,36,61.2,37.1,48.4,30.5,10.8,40.5,15.1,72.3,29.6,5.1,2.2,2.1,13,5.2,3.9,1.7
1986 Apr,84.9,65.5,45.7,53.1,27.7,3.6,2.7,176.1,3.1,1.9,4.6,12.3,26.6,7.1,7,4.7,8.6,14.8,27.7,15,21.7,27.1,73.1,9.6,102.9,109.2,96.8,87.1,51.9,23.8,132.7,31.3,26.2,10,36.3,123.8,48.3,172.1,206,169,141.5,110.2,41.1,58.3,40.7,49.7,33.5,11.8,43,15.5,76.1,31.2,6.1,2.2,2.1,13.5,5.3,5.1,1.5
1986 May,91.9,68.3,47.3,56,29.7,4,2.7,186.2,3,1.9,5.5,12.9,28.6,8,7.5,4.9,9,16,29.7,16.4,21.4,33.2,77,10.8,121.2,112.8,110.2,102.5,56.6,26.8,145.7,33.4,28.6,10.3,39.9,158.2,56.7,214.8,223,185.6,170,118,43.8,61.5,48,51,41.6,13.5,51.8,15.8,87.7,38.2,7.2,2.5,2.2,16.4,6.6,5.9,1.7
1986 Jun,86.7,60.3,44.2,48,28.5,3.8,2.6,166.5,2.9,2,5.2,11.4,22.4,7.1,6.2,4.6,7.7,14.4,26.5,14,19.5,29.2,74,10.3,109.2,106.1,94.2,89,50.3,23.2,115.8,31.3,25.4,9.1,31.9,129.3,48.1,177.4,200.3,147.7,123.1,108.2,43.4,57.9,42.9,45.8,37.1,11.4,44.2,15.1,77.6,32.8,6.5,2.2,2.1,15.1,6.5,4.8,1.5
1986 Jul,90.5,69.6,47.7,49.1,29.1,4.4,3.3,182.6,3.1,2.3,5.5,13.3,22.4,7,9.8,5,8.1,14.3,29,15.5,20.5,26,74.9,11.6,133.7,106.3,109.5,96.8,57.5,25.8,126.3,32.1,26.4,9.6,37.4,129.1,50.3,179.3,215.8,163.6,154.9,123.5,40.3,65.9,41.2,49.6,39.2,12,48.9,14.9,83.7,36.8,7.2,2.5,1.8,16.7,7.4,5,2
1986 Aug,91.3,69.2,48.9,47.9,28.9,4.5,4.6,182.4,3.2,2.3,5.8,13.4,22.3,6.9,9.1,4.9,6.9,14.3,27.9,19,21.6,25.2,76.1,11.6,127.5,110.9,105.1,98.5,59.7,26.8,118.8,32.2,27.3,9.9,35.4,120.3,48.2,168.6,216,154.2,134.3,131.7,39.7,72,41.9,50.9,40.8,12.2,47,15.3,87.7,34.9,7.3,2.5,2.1,16.6,6.7,5,1.9
1986 Sep,89.6,70.2,48.1,48.5,30.1,4,3.3,182.7,3.1,2.3,5.8,13.2,22.9,7,9,5.4,7.5,15.4,28.7,18.5,20.9,25.5,75.2,11.1,123.5,108.3,105.6,94.6,61.2,26,115.9,32.4,27.8,9.9,35.7,126.9,50.6,177.5,213.9,151.6,148.6,132.9,40.2,71.7,45.8,51.3,36,12.7,46.7,15.3,83.2,33.9,7.2,2.5,1.9,17.2,7,4.7,1.9
1986 Oct,93,72.3,51.9,54.9,32.1,4.2,3,193.6,3.3,2.5,6.3,14.6,24.9,7,9.2,5.5,7.8,16.3,31.1,22.9,22.9,25,82.9,10.3,117.9,114.2,110.4,104.4,65.7,28,128,37.1,26.2,10.3,38.9,141.9,57.1,199,224.6,166.9,147.8,142.8,41.7,77.1,49.7,53.5,41.4,13.6,49.7,15.5,95.4,36.1,7,2.7,1.9,16.3,5.6,4.7,1.8
1986 Nov,92.3,73.3,51.2,55.5,32,4.2,3.2,195.4,3.2,2.3,6.3,14.9,25.5,7.2,9,4.8,8.2,16.2,29.6,26.5,22.3,24.5,79.7,10.3,124.6,118.4,110,101.2,62.7,26.9,129.3,34.9,24.6,10,38.6,141.4,56,197.4,228.4,167.9,151.1,138.3,41,75.6,49.3,52.8,38,14,51,15.3,94.1,37,6.9,2.7,1.8,16.6,5.4,4.7,1.8
1986 Dec,107.4,98.7,57.5,77.8,43.3,6.6,3.4,264.7,4,2.7,7.1,21,36.2,9.1,11.1,6.7,13.2,21.9,34.1,43.8,28.5,28.7,92.4,11.6,188,135.6,136.6,117.4,77.5,35.2,196.1,40.7,35.5,13.4,56.4,206.9,81,287.9,272.2,252.5,317.5,159.5,47.4,82,71.9,61.9,48.8,20,77.4,17.5,126.7,57.4,10.7,3.6,2.2,24.6,7.6,6.9,2.3
1987 Jan,91.2,65,51.9,58.9,39.9,4.4,2.8,197.8,2.9,2.1,5.1,16.5,20.9,6.1,8.2,5.5,7.7,16.7,25.6,18.3,22.4,25.1,92.5,8.7,111.9,118.6,99.2,93.2,55.4,23.7,106.8,38.9,26.5,10.1,35.6,111.6,50,161.7,217.9,142.4,137.3,138.9,36.1,83.5,39.6,56.5,36.8,12.5,44.4,16,80.7,31.9,6.5,2.4,1.8,13.5,4.9,4,1.6
1987 Feb,87,78.5,49.1,56.3,32.4,5.9,3.1,204.5,2.9,2.4,4.7,17,18.3,6.5,7.9,4.9,7.8,15.3,24.2,19.6,20.1,22.6,80,9.7,103.3,110.2,91.1,87.2,54.7,23.2,99.8,34.3,25.5,9.2,33.2,99.6,43.4,143,201.3,133,116,130.9,32.3,76.2,36.6,49.8,33.9,11.5,39.7,15.7,77.6,28.2,5.9,2.3,1.9,12.6,4.6,3.9,1.5
1987 Mar,88.9,75.9,50.5,53.7,32.7,5.3,4.7,201.1,3.2,2.2,5.8,16.5,23.6,6.7,9,5.4,8.4,16,24.8,17,21.1,25,82.1,10.6,113.5,111.2,98.8,93.1,58.4,25,120.9,35.6,29.8,10.2,37.2,116.5,46.7,163.3,210,158.1,141.8,136.3,38.9,77.9,40.5,51.1,34.9,11.5,42.4,15.6,76.7,31,6.5,2.4,2.1,14.7,5.3,5.1,1.8
1987 Apr,91.4,74.2,52.5,54.3,33.1,5.1,4.1,201.1,3,2.4,5.3,17.7,24.8,7,9.3,5.6,9.1,16.6,25.2,18.8,21.8,22.4,83.1,10.8,119.6,112.2,102.1,88.3,59.7,25.6,128.5,39.6,27.8,10.3,39.2,135.6,51.3,186.9,214.3,167.7,164.6,142.7,31,83,45.7,51.8,37.2,13,48.6,16.8,81.2,35.6,7,2.9,2.1,14.2,5.3,5,1.8
1987 May,93.2,76.7,53.8,55.7,34.3,5.1,3.9,207.8,3.2,2.5,5.7,19.3,25.5,7.8,9,5.8,9.3,16.2,30.5,20,22.5,23.8,77.4,10.9,134.9,112.2,110.5,95.7,61.1,26.9,138.4,34,31.5,10.8,42.5,157.6,57.1,214.7,222.7,181,173.8,144.2,35.5,83.1,51.1,53,45.6,13.6,55.4,16.9,96.1,41.8,8,3.1,2.1,15.7,5.6,5.6,1.8
1987 Jun,91.3,73.4,52.5,54.2,32.7,4.6,4.1,199.4,3,2.5,5.9,17.8,23.4,7.5,8.9,5.7,9.4,15.4,30,17.2,19.8,23.6,72.8,10.6,139,110.4,106.1,89.9,56.1,25,126.1,32.2,31.4,9.9,37.3,138.4,51.1,189.5,216.4,163.5,159.5,137.9,35.8,81.8,49.2,50,42.1,12.7,49.4,16.3,89.3,36.7,8.2,3,1.8,14.8,5.6,5,1.8
1987 Jul,98.5,85.1,53.7,56.1,35.3,5.5,4.4,217.1,3.3,2.8,6.6,17.6,25.3,7.3,8.7,6.4,9.8,17.1,34.4,18.5,22.3,23.9,88.9,10.6,133.1,122,113.7,103.7,63.9,28,137.9,36.6,34.5,11.1,41.3,145.3,54.1,199.3,235.6,179.2,168,149,43,85.1,61.7,56.7,45.3,13.7,54.5,17.2,98.1,40.8,7.5,2.9,2.2,16.7,6.5,5.6,1.8
1987 Aug,97.4,82.3,52.3,55.6,34.9,5.3,4.4,214.5,3.3,2.6,6,18.4,22.7,6.9,8.6,6.4,7.6,16.2,33.3,19.4,21.9,23.1,85,10.9,125,120.3,111.4,100,61.4,27,124,36.2,32.8,10.7,37.4,129.7,48.8,178.5,231.7,161.4,136.2,146.4,40.3,85,54.7,55.6,44.2,12.6,47.9,16.6,96.9,35.3,6.7,2.7,2.4,16.1,6.5,4.8,1.8
1987 Sep,97.3,80.3,52.4,55.7,36.4,5.4,4.8,214.1,3.3,2.8,6.1,18,24.9,6.8,9.1,5.8,8.2,18.1,29.4,20.6,23.8,23.5,86.1,10.9,126.4,122.8,111.1,101.2,60.7,26.2,128.3,35.9,32.2,11.4,38.8,145,54,199.1,234,167.1,155.1,146.4,42.6,85.7,63.7,57.6,41.1,14.2,50.9,17,91,36.7,7,3,2.6,16.2,6.1,5,1.8
1987 Oct,99.8,80,55.2,55.4,33.5,5.7,4.9,210.5,3.3,2.5,6.3,18.6,24.4,7.8,10.8,6.4,8.7,19.9,30.6,24.1,22.5,24,95.5,10,139.8,124.1,111,112.8,66.4,28.4,135.6,41.6,35,11.2,42.4,152.7,58.3,211,235.1,178,166.8,157.3,46.2,90.9,66.4,60.2,48.7,15.1,55,17.7,103.4,39.9,7,3.2,1.9,16.9,5.7,5.8,2
1987 Nov,96.9,78.4,53.1,54.9,36.3,5.7,4.7,209.4,3.3,2.6,6.6,16.7,24.7,7.8,9.4,6.1,9.2,20.3,30.7,23.1,23.1,22.7,96.4,10.5,145.8,125,114.1,104.1,67.9,29.1,137.3,41.8,35.3,11.5,42.4,149.9,58.5,208.4,239.1,179.7,161.1,155.3,40.7,87.4,59.6,57.2,45.1,15,54.2,17,98.9,39.3,7.9,3.2,2.6,16.2,4.5,5.1,1.7
1987 Dec,111.3,98.9,62.9,76,51.1,8.3,7.3,282.2,3.6,2.9,7,25.1,35.6,10.6,12.6,8.8,14.7,27.5,34.4,47.5,30.1,26.6,112.1,12.9,225.2,135.4,145.5,120.5,83.3,38.4,202.3,51.2,46.8,15.3,61.8,219.5,82.6,302,280.9,264.1,362.3,186.5,46.9,103.2,90.1,69.3,64.7,22.5,84.5,20.3,146.5,62,11.5,4.8,3,23.6,6.8,8,2.4
1988 Jan,100.1,71.8,50.9,54.6,37.9,5.5,3.7,197.7,2.7,2.5,5.1,13.9,18.7,6.1,8.6,5.7,7.4,17.9,26.3,19.5,22.7,18.1,99.9,8.7,130.6,132.3,102,83.4,55.9,24.4,101.5,41.9,30.4,10.6,36.5,127.5,53.1,180.6,234.4,138,147.2,143.3,45.4,87.4,50.2,56.5,40.9,12.9,42.2,16.7,86.7,29.3,6.6,3,2.2,13,3.6,4.9,1.5
1988 Feb,95,88.2,51.9,52.2,37,5.6,4.8,215.9,2.7,2.4,5.9,15.5,20.7,7.9,8.7,5.7,9.9,16.3,24.8,20.1,23.6,21.1,91.2,10.8,136.4,121.1,106.6,91.3,59,25.7,115.5,39.6,34.6,11.4,38.8,125.3,51,176.3,227.7,154.3,122.1,146.7,41.4,87.7,50.8,53,39.4,12.3,41.8,16.2,84.3,29.5,7.4,3.1,2.5,14.5,4.3,6,1.6
1988 Mar,101.4,89,56.1,54.2,35.8,6.2,6.7,222,3.2,2.5,6.6,16.2,24.3,8.2,9.5,6.5,8.8,18.5,26.3,22.1,24.2,22.9,95.6,12.1,151.7,129.5,111.9,96,67.1,28.7,126.1,40.8,39.2,12.4,40.9,140.7,53.4,194.1,241.4,167,161.7,159.6,51.3,92.5,57.5,57,41,13.4,47.2,17.6,89.4,33.7,8,3.2,2.6,15.7,4.4,6,1.7
1988 Apr,96.2,73,56,48.8,31.8,5.5,5.1,189.7,3.1,2.5,5.9,14.3,23.9,7.3,9.6,5.8,8.6,18.8,27,23.6,23.1,20.4,95.4,9.4,140.9,124.3,106.4,91.7,63.3,27.4,131.2,41.5,32.4,11.2,42.7,145.5,53.2,198.7,230.8,173.9,172.3,158.7,45.5,95.3,54.9,55.3,41.8,14.7,50.7,17.1,92.3,36,6.9,3,2.4,14.7,4.4,6.1,1.7
1988 May,97.8,80.3,54.7,52.6,36.7,5.6,5.6,210.6,3.3,2.6,6.9,17.3,26.1,8.4,9,6.5,9.5,18.5,32,20.9,23.7,24.8,108.8,10.5,163.4,126.5,114.8,107.9,62.9,28.4,146.9,47.6,38.6,12.1,46.5,157.1,57.1,214.2,241.2,193.4,177.5,151.7,52.2,88.8,61.6,56,48.8,15.1,56.6,16.9,101.7,41.5,8.8,3.2,2.2,16.5,5,6.7,1.7
1988 Jun,91.3,75.3,56,49.2,34.7,5.8,5,198.9,3.3,2.5,6.9,16.2,25.2,8.1,10.2,6.5,9.2,17.1,31.8,17.6,21.9,25.5,117.9,10.3,150,123.5,113.2,101.9,65.4,27.7,140.8,54.7,38.2,11.9,42.4,149.4,53.3,202.7,236.7,183.1,177.9,155.7,57.8,90.3,68.1,54.9,46.6,14,52.8,16.6,95.9,38.8,9,3.3,2.1,18.9,7.4,6.6,1.9
1988 Jul,94.6,74.2,54,46.8,39.1,5.4,4.9,198.6,3.2,2.7,6.4,15,24.7,7.9,10.3,6.7,8.8,16.2,33.1,19.2,21.3,24.1,124.9,10.8,146.5,125.6,128.3,93.2,68.5,27.8,134.6,59.2,41.3,13.1,39.3,142.7,53.2,195.9,253.9,173.9,153.4,154,59.1,85.5,77.2,55.7,45.8,14,50.2,16.2,98.1,36.3,8.7,3.2,2.2,17.6,6.6,6.9,1.7
1988 Aug,95.4,76.7,57,51.3,44.8,5.8,5.3,213.7,3.3,2.7,7.4,16.2,23.3,7.4,11.7,6.5,9.5,15.7,33.5,18,21.4,24.9,122.7,10.9,149,124.8,122.7,100.3,68.7,28.4,135.8,59.9,40.8,13.4,37.9,139.1,50.2,189.3,247.5,173.7,150,159.9,58.6,91.2,73.1,54.8,45.5,14,48.4,16.9,97,34.4,8.9,3.9,1.9,18.8,6.7,6.6,1.9
1988 Sep,98.3,75.7,57.8,46.3,39.8,6.2,4.9,200.6,3.7,2.6,6,14.3,27.6,8.8,11.4,6.5,9.3,18,33.3,18.6,23,25.8,122,11,141,121.7,121.2,93,67,29.4,148.8,49.8,33.9,11.8,41.1,159.5,59.8,219.3,242.9,189.9,164.9,165.3,58.8,98.4,83,56.5,43.1,15,49.3,16.1,95,34.3,8.2,3.2,1.9,18.9,6.6,5.9,2.1
1988 Oct,101.4,80.5,57.9,47.6,39.6,5.7,4.9,206.9,3.7,2.6,6.3,14.6,26.5,8.4,11,6.4,9,18.5,35.8,22.5,21.9,25.9,121.2,11.7,133.8,125.8,126.9,98,68.7,31.6,154.9,49.7,35.2,12.4,44.6,158.9,62.5,221.5,252.7,199.5,167.4,167.8,58.6,99.1,80.3,53.9,44.6,15.3,50.7,16.3,102.9,35.4,7.5,3.3,2.1,19.4,6.6,5.2,2.1
1988 Nov,100.7,90.4,59.4,53.7,40.2,6.2,5.5,226.5,3.9,2.5,7.2,15.7,25.4,9.2,11.5,6.7,10.7,20,37.7,25.2,24,27.5,87.2,12.4,161.1,126.2,148,101.9,71.5,38.2,150.4,28.2,38.7,12.7,45.6,169,69.4,238.5,274.2,196,204.5,176.4,62.1,104.9,77.9,56.5,51.4,17.1,55.6,16.6,114.4,38.5,8.5,4,2.2,21.4,7.2,5.7,2.2
1988 Dec,120.3,100.1,64.9,66.8,60,8.1,7.3,281.6,4.3,2.9,8.4,20.9,38.2,11.4,11.5,8.3,15.6,25.3,38.5,35.3,44,32.8,114.3,15.8,225.3,136.1,165.3,117.1,77.8,53.8,204.5,44.9,54.8,20.3,68.5,241.9,104.9,346.9,301.4,273,387.9,186.2,67,108.4,110.9,79.6,67.8,25.4,81.1,19.1,141.5,55.7,10.2,4.8,3.7,34.5,10.3,8.6,3.3
1989 Jan,106.2,80.5,54.9,55.5,52.1,5.3,4.5,231.1,3.6,2.5,6.1,20.4,28.1,7.4,9.5,6.4,9.1,24.6,33,21.7,26.8,24.2,123.3,11.1,143.8,134.1,164.1,84.5,71.1,28.9,124.8,47.8,37.3,11.6,38.6,153,61.7,214.8,298.2,163.4,142,167.2,49.7,96.1,73.2,61,49.3,15,50.4,16.5,104,35.4,6.6,3.3,1.5,18.3,5.8,6.9,1.9
1989 Feb,97.3,93.3,53.7,50.2,47,5.8,4.8,230.8,3.2,2.3,6.3,16.6,22.1,8.1,8.4,6.2,9.2,24.4,31.5,20.5,24.5,22.8,101.8,11.3,133.6,118.9,137.6,84.3,71.3,29.3,118.2,41.9,35.5,11.2,36.1,124.6,52.2,176.8,256.5,154.3,130.4,167.9,46.2,96.6,58.3,54.9,44.7,13.5,45.6,16,96.7,32,6.3,3.3,1.6,19,6.8,5.4,2
1989 Mar,105.4,90.6,59,55.8,50.7,6.1,5,237.4,3.6,2.6,6.3,15.2,25.2,8.1,9.1,6.6,9.4,29.8,28.1,21.9,28.6,25.4,113.2,12.2,148,125,140.9,93.4,83.1,31.7,132,46.6,36.3,13.1,39.7,148.9,61.2,210.1,265.9,171.7,166.5,180.6,47.3,97.5,66,64.9,51.3,15.4,52.7,17.8,101.2,37.3,8.1,3.5,3,17.3,7,7.5,2
1989 Apr,100.6,86.2,57.8,51.8,49.2,5.2,4.6,221.8,3.9,2.5,6.5,12.1,27.5,8.3,8,6.4,9.5,28,28.2,19.4,28.7,25.1,110.8,10.7,144.1,120.7,136.7,97.3,80.9,30.6,141.4,45.4,35.5,12.2,42.1,163.8,63.7,227.5,257.4,183.5,161.1,179.4,48.1,98.5,67.7,64.5,50.8,15.1,58,16.4,98.4,42.8,7.8,3.1,2.5,17.5,6.7,8,2
1989 May,103.9,92.2,60.4,56.6,51.7,5.6,5.2,239.1,4.3,2.5,6.8,14,28.9,9.4,9.3,6.8,10.5,25.1,30.4,20.5,29.3,27.5,113.9,11.6,168.8,123.5,141.6,99.7,85.4,33.2,149.8,45,39.5,13.6,45.2,172.4,69.4,241.8,265.1,195,176.7,182.9,51.4,97.5,77.1,63.8,60.1,16.1,62,17.5,111,45.9,9,3.1,2.7,18.4,7.6,8.2,2.1
1989 Jun,107.4,87.5,59.8,57,43.4,5.5,4,225.9,4.7,2.4,7.2,15.2,28.9,8.7,7.9,6.6,10.5,25.3,28.1,25.6,24.9,25.7,119,11.1,173.9,133.6,151.3,96.8,83,30.2,139.2,50.4,38.4,13.9,41,167.5,69.3,236.8,284.9,180.2,192.2,177.5,54.4,94.4,82.8,57.6,53.1,14.9,55.7,17.8,106.7,40.7,8.3,3,3,18.2,6.8,8.8,1.8
1989 Jul,106.9,90.1,56.1,56.1,43.9,5.3,4.1,228.5,4.8,2.7,6.1,15.1,28.1,8.5,8.9,6.9,8.8,28.8,28.2,27,29.4,26.5,127,11.3,166.7,133.7,148.9,93.9,89.6,32.9,130.8,54.5,38.1,13.4,40.1,162.8,65.8,228.5,282.6,170.9,159.2,183.3,48.6,93.7,76.6,61.1,52.1,15.7,56.9,17.1,107.3,41.2,8,2.9,2.9,16.5,6.3,9.2,1.8
1989 Aug,109.6,91.9,56.4,62.2,45.8,6.3,4.7,242.7,5.2,2.9,6.4,16.8,25.8,8.8,8.9,7.4,9.4,28.2,28.2,27.2,28.3,27.3,129.2,12,170.8,137.1,150.7,95.2,87.2,32.7,125.6,54.7,40.2,13.4,37.4,145.5,66,211.5,287.8,163,165.2,177.4,49.5,90.2,74.7,61.7,49.4,15.5,56.7,18.5,104.9,41.2,8.6,3.1,3.1,17.1,6.4,8.2,1.9
1989 Sep,108.8,90.4,55.8,60.6,43.1,6.2,4.5,234.5,4.8,2.8,5.9,15.9,28.9,8.7,8.1,6.4,9.9,35.5,28.8,27.8,25,27.9,134.5,11.4,172,136.5,152,91.2,92,34.8,125.9,56.9,34.8,14.4,38.9,161.6,72.1,233.7,288.4,164.8,171.6,188.3,51.1,96.3,77.2,60.1,49.3,16.6,55.8,18.6,105.9,39.3,8.1,3.1,3.4,17.9,7,7.3,2.2
1989 Oct,110.6,90.3,59.6,61.1,43.8,6.3,4.3,235.3,4.8,2.7,6.8,16.4,30,8.6,7.8,6.9,10,34.8,28.7,30.3,24.9,27.9,130.8,11,175.1,143.5,158.6,94.5,91.1,34.8,129.9,53.4,33.7,13.4,40.3,160.2,73.1,233.3,302.1,170.3,174.6,203,52,111.9,83.5,60.8,50.8,16.6,58.2,18.5,109.8,41.6,7.2,3,3.4,18.8,6.9,7.2,2.3
1989 Nov,113.8,90.1,59.9,63.7,44.4,7,4.3,240.8,5,2.8,6.7,17.3,30.6,9.7,8.3,7.2,11.1,35.3,29.8,36.1,30.8,29.8,127,11.9,189.6,146.4,165.6,108.6,91.7,37.2,138.7,50.8,35.4,13.6,43.5,184.6,82.3,266.9,312,182.2,211.4,203.6,55.5,111.8,85.9,68,58.9,18.5,63,19.1,124.8,44.5,8.6,3.4,3.4,19.3,7.4,7.4,2.1
1989 Dec,134.4,95.2,74.1,89.3,50.6,10.7,5.8,290.7,5.4,3.1,9.3,19,39.7,10.5,8.9,7.7,15.2,49.1,33.1,37.9,31.3,32,151.2,17.4,253.9,161.8,199.3,112,118.3,61.6,200.9,70,49,18.7,69,244.7,117.5,362.2,361.1,269.9,395.7,236.8,65.9,118.5,103.7,71.3,72.9,25.9,79.3,22.4,143.9,53.3,12.1,4.5,5.1,25.6,8.6,8.5,2.9
1990 Jan,121.4,80.4,64.2,76.1,45.9,7.6,4.1,245.7,4.1,2.7,7.4,16.5,29.4,8,8.3,6.7,9.5,36.2,28.9,23.5,25.6,28.1,157.1,12.9,171.6,169.4,170,84.5,91.3,35.3,113.5,69.6,37.6,13.2,39.6,152.6,72.2,224.8,339.4,153.1,153.2,198.3,53.3,106.9,72.6,62.6,49.2,15.9,52,19,101.5,36.1,7.7,2.8,2.9,18.7,6.6,5.7,1.9
1990 Feb,114.6,93.3,58.9,69.9,44,9,5.2,253,3.9,2.6,7,17.2,23.3,8.2,8,5.8,9.1,29.9,27.4,21.4,24.8,25.5,124.8,12.2,158.9,148.7,159.3,79.5,88.1,30.6,102.2,51.4,33.3,12.2,35.1,129.3,64,193.3,308,137.3,137,183.5,49,95.4,56.9,57.7,45.6,14.2,44.1,17.7,94.4,29.8,7.7,2.8,2.6,17.7,6.5,4.8,1.8
1990 Mar,123.5,99.5,66,57.4,40.1,9.6,5.1,245.8,4.5,2.8,7.6,17.2,28.6,8.8,9.3,7,11.1,34.7,28.9,24.7,26.5,28.6,144.9,14.6,175.5,157.4,166.1,81.7,104.4,33.8,114.3,64.1,39.1,13.8,38.2,159.2,73,232.2,323.4,152.5,167.7,204.6,58.6,100.2,67.8,65,54.7,14.8,50.1,20,108.2,35.3,8.5,3,3.3,19.3,7.3,6,2
1990 Apr,118.8,84.2,61.5,50.4,39.6,8.2,4.2,219.8,3.7,2.7,9,19,30.8,8.3,8.9,6.4,10.9,35,26.5,22.5,23.9,27.3,140.7,12,165.7,157.2,161.9,78.3,88.8,33.7,126,62.8,37.9,13.9,39.8,168.8,70.5,239.3,319.1,165.9,179.9,183.9,50.3,95,69.7,60.4,49.1,14.8,54.4,19.2,98.1,39.5,8.2,2.9,3.1,20.6,6.9,7.1,1.9
1990 May,123.6,93.7,63,58.4,43.7,9,4.6,243.4,4,2.8,9,17.8,32.8,9.8,9.4,7.1,12.2,34.6,29.6,23.3,25.6,31.2,142.8,13.6,190.2,157.4,158.8,87.9,90.9,35,138.4,64.4,43.7,14.1,42.6,197.2,77.5,274.7,316.2,181,190.5,183.5,61.3,92.6,81.8,62.7,56.1,15.9,58.2,20.2,109,42.3,10.5,3.2,3.6,22.9,9.1,7.8,2.1
1990 Jun,127.5,83.9,63.5,53.2,42.6,8.9,4.6,228.3,3.8,2.7,10.2,19.5,31.3,9,9.6,6.9,11.7,37.9,27.9,26.5,24,28.3,143,13.2,173.1,155,150.4,84.3,84.8,33.2,134.2,61.2,43.6,12.8,40.6,165.8,73.5,239.3,305.3,174.7,197.8,182.1,63.6,97.3,82.4,61.3,55.4,15,55.2,19.8,109.7,40.3,9,2.7,3.9,23,7.7,7.9,2
1990 Jul,125.9,92.8,61.4,53.3,44.2,8.6,4.4,236.3,4,2.7,9.1,16.6,32.2,9,10.3,7.6,10.6,36.7,29.4,26.4,24.3,29.9,149.2,14,173.9,152.9,150.3,85.2,95.4,34.3,132.4,66.6,42.2,12.3,39.7,165.5,70.8,236.3,303.2,172.1,157.9,193.4,61.5,98.1,74.5,61.8,51.5,15.9,54,19.7,107.3,38.1,9.1,2.7,3.1,20.5,7.3,7.9,1.9
1990 Aug,130.1,103.3,63.5,56.3,45.4,9.5,5,255.1,4.1,2.7,9.6,18.5,28.6,9.9,9.8,7.9,10.7,36.6,26.6,27.2,24.5,29.9,154.9,14.5,181.1,155.9,159.8,87.4,89.1,37.1,127.1,69.9,42.9,13.1,39,162.1,70.7,232.8,315.7,166.1,173.4,186.7,61.8,97.6,79.2,63.8,54.4,14.4,52.9,20.5,108.2,38.5,9.8,3,3.4,21.1,7.6,7.1,1.9
1990 Sep,116.9,86.6,60,50.5,42.2,8.5,4.2,224,4.1,2.7,9.1,17.3,28,8.4,12.3,7.6,9.5,40.3,27.4,29.5,27.9,27.7,142.9,12.2,171.4,134.9,168.4,76.5,92.6,35.6,118.5,60.6,37.2,14.2,37.8,171.6,73.1,244.7,303.3,156.3,164.2,182.9,61.3,90.3,78.5,66.1,47.8,15.8,50.1,20.1,104.6,34.2,9.3,3.1,3.3,20.3,6.9,6.4,1.9
1990 Oct,123.3,86.8,62.2,50.8,45.7,9.3,4.9,229.2,4.5,2.8,9.6,16.5,30.1,9.3,11.1,8.3,10.6,40.4,30.3,31.3,30.4,29.8,147.8,12.8,189.2,147.2,159.5,85.4,91.2,37.6,128.4,63.1,39.1,13.2,41.5,187,77.7,264.7,306.7,169.8,178.7,185.2,64.9,94,84.7,72.5,51.7,17.1,52.6,21.6,113.3,35.5,9.1,3.3,3.6,22,7.7,6.4,2.2
